Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	1599	10	0	0	0	0
0	58	0	1601	5	0	2	1	1
0	58	0	1602	60	0	12	5	7
0	58	0	1605	47	0	16	9	7
0	58	0	1607	7	0	2	2	0
0	58	0	1608	23	0	6	3	3
0	58	0	1611	31	0	17	7	10
0	58	0	1615	5	0	0	0	0
0	58	0	1617	26	0	12	6	6
0	58	0	1619	30	0	2	2	0
0	58	0	1621	55	0	3	1	2
0	58	0	1622	5	0	5	2	3
0	58	0	1624	26	0	0	0	0
0	58	0	1627	380	0	22	11	11
0	58	0	1632	15	0	0	0	0
0	58	0	1650	39	0	0	0	0
0	58	0	1654	56	0	0	0	0
0	58	0	1655	10	0	0	0	0
0	58	0	1656	14	0	6	4	2
0	58	0	1663	8	0	0	0	0
0	58	0	1666	16	0	1	1	0
0	58	0	1673	661	0	52	20	32
0	58	0	1674	25	0	4	3	1
0	58	0	1677	9	0	0	0	0
0	58	0	1678	44	0	7	3	4
0	58	0	1682	14	0	5	4	1
0	58	0	1684	12	0	5	4	1
0	58	0	1693	16	0	7	4	3
0	58	0	1694	11	0	32	11	21
0	58	0	1696	5	0	6	5	1
0	58	0	1697	11	0	3	1	2
0	58	0	1698	8	0	0	0	0
0	58	0	1701	40	0	24	9	15
0	58	0	1704	163	0	11	6	5
0	58	0	1709	18	0	0	0	0
0	58	0	1720	103	0	9	7	2
0	58	0	1721	11	0	5	3	2
0	58	0	1726	16	0	2	1	1
0	58	0	1730	24	0	10	5	5
0	58	0	1731	9	0	0	0	0
0	58	0	1732	33	0	0	0	0
0	58	0	1738	19	0	0	0	0
0	58	0	1740	28	0	4	1	3
0	58	0	1741	3190	0	292	147	145
0	58	0	1745	14	0	0	0	0
0	58	0	1758	13	0	17	7	10
0	58	0	1761	24	0	4	3	1
0	58	0	1762	8	0	2	1	1
0	58	0	1763	416	0	37	23	14
0	58	0	1771	6	0	13	9	4
0	58	0	1775	18	0	14	5	9
0	58	0	1777	9	0	0	0	0
0	58	0	1779	8	0	7	4	3
0	58	0	1787	13	0	15	8	7
0	58	0	1789	9	0	0	0	0
0	58	0	1792	8	0	0	0	0
0	58	0	1795	19	0	0	0	0
0	58	0	1797	92	0	15	8	7
0	58	0	1799	6	0	0	0	0
0	58	0	1819	21	0	1	1	0
0	58	0	1820	126	0	0	0	0
0	58	0	1821	13	0	0	0	0
0	58	0	1822	6	0	0	0	0
0	58	0	1829	16	0	0	0	0
0	58	0	1832	18	0	0	0	0
0	58	0	1835	30	0	0	0	0
0	58	0	1837	14	0	0	0	0
0	58	0	1839	60	0	0	0	0
0	58	0	1854	24	0	0	0	0
0	58	0	1855	6	0	0	0	0
0	58	0	1859	7	0	0	0	0
0	58	0	1860	5	0	0	0	0
0	58	0	1861	12	0	0	0	0
0	58	0	1862	17	0	0	0	0
0	58	0	1865	61	0	0	0	0
0	58	0	1866	63	0	8	4	4
0	58	0	1868	6	0	0	0	0
0	58	0	1869	18	0	0	0	0
0	58	0	1871	20	0	4	2	2
0	58	0	1886	16	0	0	0	0
0	58	0	1888	7	0	0	0	0
0	58	0	1889	6	0	0	0	0
0	58	0	1893	489	0	47	23	24
0	58	0	1894	14	0	19	7	12
0	58	0	1897	25	0	7	1	6
0	58	0	1901	18	0	0	0	0
0	58	0	1915	106	0	0	0	0
