"","PatchID0","PatchID1","FST","Tree_disease","Management","Replicate","method"
"10633","622","970",0.889774,"70","80",1,"RS"
"10643","622","1182",0.539104,"70","80",1,"RS"
"10653","622","1306",0.881955,"70","80",1,"RS"
"10663","622","1442",0.546945,"70","80",1,"RS"
"10673","622","1497",0.670662,"70","80",1,"RS"
"10683","622","1555",0.689239,"70","80",1,"RS"
"10693","622","1673",0.85694,"70","80",1,"RS"
"10703","622","2097",0.686808,"70","80",1,"RS"
"10713","764","892",0.551322,"70","80",1,"RS"
"10723","764","970",0.622862,"70","80",1,"RS"
"10733","764","1182",0.241185,"70","80",1,"RS"
"10743","764","1306",0.616432,"70","80",1,"RS"
"10753","764","1442",0.261709,"70","80",1,"RS"
"10763","764","1497",0.441253,"70","80",1,"RS"
"10773","764","1555",0.41435,"70","80",1,"RS"
"10783","764","1673",0.609932,"70","80",1,"RS"
"10793","764","2097",0.466338,"70","80",1,"RS"
"10803","892","970",0.916342,"70","80",1,"RS"
"10813","892","1182",0.491258,"70","80",1,"RS"
"10823","892","1306",0.918748,"70","80",1,"RS"
"10833","892","1442",0.504061,"70","80",1,"RS"
"10843","892","1497",0.657297,"70","80",1,"RS"
"10853","892","1555",0.690319,"70","80",1,"RS"
"10863","892","1673",0.901219,"70","80",1,"RS"
"10873","892","2097",0.708116,"70","80",1,"RS"
"10883","970","1182",0.582949,"70","80",1,"RS"
"10893","970","1306",0.927415,"70","80",1,"RS"
"10903","970","1442",0.59006,"70","80",1,"RS"
"10913","970","1497",0.751052,"70","80",1,"RS"
"10923","970","1555",0.725564,"70","80",1,"RS"
"10933","970","1673",0.905032,"70","80",1,"RS"
"10943","970","2097",0.763857,"70","80",1,"RS"
"10953","1182","1306",0.572442,"70","80",1,"RS"
"10963","1182","1442",0.153403,"70","80",1,"RS"
"10973","1182","1497",0.402092,"70","80",1,"RS"
"10983","1182","1555",0.389341,"70","80",1,"RS"
"10993","1182","1673",0.548612,"70","80",1,"RS"
"11003","1182","2097",0.420947,"70","80",1,"RS"
"11013","1306","1442",0.592085,"70","80",1,"RS"
"11023","1306","1497",0.751042,"70","80",1,"RS"
"11033","1306","1555",0.718011,"70","80",1,"RS"
"11043","1306","1673",0.920702,"70","80",1,"RS"
"11053","1306","2097",0.768128,"70","80",1,"RS"
"11063","1442","1497",0.416537,"70","80",1,"RS"
"11073","1442","1555",0.405367,"70","80",1,"RS"
